species_code,species_name,surv,type,avg_nss,avg_hls
10110,arrowtooth flounder,AI,female,6306.4,253.86666666666667
10112,Kamchatka flounder,AI,female,1118.9285714285713,155.5
21720,Pacific cod,AI,female,3269.4666666666667,226
21740,walleye pollock,AI,female,7778.333333333333,210.86666666666667
21921,Atka mackerel,AI,female,4560.866666666667,123.8
30050,REBS rockfish complex,AI,female,889.9333333333333,74.86666666666666
30060,Pacific ocean perch,AI,female,9840.666666666666,206.6
30420,northern rockfish,AI,female,5607.2,127.66666666666667
10110,arrowtooth flounder,EBS_SHELF,female,6715.461538461538,172.64102564102564
10115,Greenland turbot,EBS_SHELF,female,300.71794871794873,53.333333333333336
10130,flathead sole,EBS_SHELF,female,8145.282051282052,266.2307692307692
10210,yellowfin sole,EBS_SHELF,female,17325.589743589742,262.1025641025641
10285,Alaska plaice,EBS_SHELF,female,5208.948717948718,237.48717948717947
21720,Pacific cod,EBS_SHELF,female,6031.948717948718,345.8974358974359
21740,walleye pollock,EBS_SHELF,female,28712.76923076923,343.02564102564105
10112,Kamchatka flounder,EBS_SHELF,female,875.3333333333334,118.38888888888889
10110,arrowtooth flounder,GOA,female,35552.76470588235,602
10130,flathead sole,GOA,female,10752.64705882353,331.29411764705884
10180,Dover sole,GOA,female,2523.470588235294,269.2352941176471
10200,rex sole,GOA,female,7162.35294117647,383.5882352941176
20510,sablefish,GOA,female,2828.6470588235293,247.35294117647058
21720,Pacific cod,GOA,female,5314.35294117647,371.7647058823529
21740,walleye pollock,GOA,female,13700.823529411764,406.88235294117646
30050,REBS rockfish complex,GOA,female,1629.9411764705883,145.88235294117646
30060,Pacific ocean perch,GOA,female,9003.058823529413,246.11764705882354
30150,Dusky rockfish,GOA,female,1039.0588235294117,76.41176470588235
30420,northern rockfish,GOA,female,1970.9411764705883,83.3529411764706
10261,northern rock sole,EBS_SHELF,female,14060.16,333.04
10261,northern rock sole,GOA,female,4097.846153846154,202.3846153846154
10262,southern rock sole,GOA,female,6462.384615384615,262.2307692307692
10110,arrowtooth flounder,EBS_SLOPE,female,4623,115.33333333333333
10112,Kamchatka flounder,EBS_SLOPE,female,1345.1666666666667,154.5
10115,Greenland turbot,EBS_SLOPE,female,577.5,100.5
30060,Pacific ocean perch,EBS_SLOPE,female,1378.3333333333333,65.66666666666667
10110,arrowtooth flounder,AI,male,3921.133333333333,227.6
10112,Kamchatka flounder,AI,male,1597.4285714285713,147.07142857142858
21720,Pacific cod,AI,male,3515.9333333333334,230.6
21740,walleye pollock,AI,male,6256.6,203.13333333333333
21921,Atka mackerel,AI,male,4291.6,129.33333333333334
30050,REBS rockfish complex,AI,male,939.4666666666667,78.13333333333334
30060,Pacific ocean perch,AI,male,13175.133333333333,210.86666666666667
30420,northern rockfish,AI,male,3553.133333333333,120.26666666666667
10110,arrowtooth flounder,EBS_SHELF,male,2806.4358974358975,156.15384615384616
10115,Greenland turbot,EBS_SHELF,male,316.12820512820514,48.84615384615385
10130,flathead sole,EBS_SHELF,male,7994.333333333333,244.71794871794873
10210,yellowfin sole,EBS_SHELF,male,10952.102564102564,235.23076923076923
10285,Alaska plaice,EBS_SHELF,male,5134.641025641025,196.02564102564102
21720,Pacific cod,EBS_SHELF,male,6210.2307692307695,344.6923076923077
21740,walleye pollock,EBS_SHELF,male,29372.666666666668,337.3333333333333
10112,Kamchatka flounder,EBS_SHELF,male,881.8611111111111,112.75
10110,arrowtooth flounder,GOA,male,17116.941176470587,569.6470588235294
10130,flathead sole,GOA,male,9799.470588235294,311.05882352941177
10180,Dover sole,GOA,male,3208.705882352941,242.23529411764707
10200,rex sole,GOA,male,7292.823529411765,336.3529411764706
20510,sablefish,GOA,male,3734.5882352941176,250.35294117647058
21720,Pacific cod,GOA,male,5208.058823529412,361.70588235294116
21740,walleye pollock,GOA,male,11401.588235294117,397.3529411764706
30050,REBS rockfish complex,GOA,male,1656.235294117647,144.7058823529412
30060,Pacific ocean perch,GOA,male,10180.882352941177,249.41176470588235
30150,Dusky rockfish,GOA,male,922.9411764705883,72.76470588235294
30420,northern rockfish,GOA,male,1827.4117647058824,83.41176470588235
10261,northern rock sole,EBS_SHELF,male,14285.04,305.96
10261,northern rock sole,GOA,male,2726.923076923077,168.15384615384616
10262,southern rock sole,GOA,male,2740.769230769231,192.46153846153845
10110,arrowtooth flounder,EBS_SLOPE,male,1138,82.83333333333333
10112,Kamchatka flounder,EBS_SLOPE,male,1914.5,138.5
10115,Greenland turbot,EBS_SLOPE,male,1017,108.5
30060,Pacific ocean perch,EBS_SLOPE,male,1759.1666666666667,67.33333333333333
10110,arrowtooth flounder,AI,total,10606.8,487.8
10112,Kamchatka flounder,AI,total,2718.4285714285716,303.57142857142856
21720,Pacific cod,AI,total,7079.733333333334,463.1333333333333
21740,walleye pollock,AI,total,14528.866666666667,422.93333333333334
21921,Atka mackerel,AI,total,9110.066666666668,256.8
30050,REBS rockfish complex,AI,total,2060.5333333333333,157.8
30060,Pacific ocean perch,AI,total,23538.066666666666,432.1333333333333
30420,northern rockfish,AI,total,9289.8,250.6
10110,arrowtooth flounder,EBS_SHELF,total,9778.641025641025,339.43589743589746
10115,Greenland turbot,EBS_SHELF,total,720.2564102564103,116.05128205128206
10130,flathead sole,EBS_SHELF,total,17193.30769230769,551.2307692307693
10210,yellowfin sole,EBS_SHELF,total,29803,506.4102564102564
10285,Alaska plaice,EBS_SHELF,total,10800.384615384615,439.5897435897436
21720,Pacific cod,EBS_SHELF,total,13320.48717948718,736.2820512820513
21740,walleye pollock,EBS_SHELF,total,82451.05128205128,872.6666666666666
10112,Kamchatka flounder,EBS_SHELF,total,1775.75,234.27777777777777
10110,arrowtooth flounder,GOA,total,54108.23529411765,1199.1176470588234
10130,flathead sole,GOA,total,21317.529411764706,676.0588235294117
10180,Dover sole,GOA,total,6083.705882352941,521.1176470588235
10200,rex sole,GOA,total,15072.058823529413,741.3529411764706
20510,sablefish,GOA,total,6907.529411764706,510.88235294117646
21720,Pacific cod,GOA,total,10918.35294117647,747.1176470588235
21740,walleye pollock,GOA,total,28241.58823529412,878
30050,REBS rockfish complex,GOA,total,3378.4117647058824,300.7647058823529
30060,Pacific ocean perch,GOA,total,20455.58823529412,522.8823529411765
30150,Dusky rockfish,GOA,total,1997.4705882352941,151.47058823529412
30420,northern rockfish,GOA,total,3912.5882352941176,170.23529411764707
10261,northern rock sole,EBS_SHELF,total,29137.2,660.36
10261,northern rock sole,GOA,total,6834.7692307692305,371.7692307692308
10262,southern rock sole,GOA,total,9217.384615384615,456.6923076923077
10110,arrowtooth flounder,EBS_SLOPE,total,5761.166666666667,198.33333333333334
10112,Kamchatka flounder,EBS_SLOPE,total,3259.6666666666665,293
10115,Greenland turbot,EBS_SLOPE,total,1594.5,209
30060,Pacific ocean perch,EBS_SLOPE,total,3191.1666666666665,135.83333333333334
